"","Coverage","Width","Method","Rho"
"1",0.680272108843537,3.89840711547997,"CW_rho","rho = 1"
"2",0.666666666666667,10.5173146711049,"CW_rho","rho = 1"
"3",0.659863945578231,4.28240609725565,"CW_rho","rho = 1"
"4",0.585034013605442,1.33688108722751,"CW_rho","rho = 1"
"5",0.54421768707483,1.45053123318671,"CW_rho","rho = 1"
"6",0.639455782312925,1.90485888916054,"CW_rho","rho = 1"
"7",0.782312925170068,4.46921676202155,"CW_rho","rho = 1"
"8",0.612244897959184,1.19261004310118,"CW_rho","rho = 1"
"9",0.707482993197279,37.5881921030499,"CW_rho","rho = 1"
"10",0.727891156462585,16.8319516218459,"CW_rho","rho = 1"
"11",0.707482993197279,2.82566389882685,"CW_rho","rho = 1"
"12",0.680272108843537,10.3956588356989,"CW_rho","rho = 1"
"13",0.659863945578231,1.53838140505368,"CW_rho","rho = 1"
"14",0.551020408163265,2.02203636574803,"CW_rho","rho = 1"
"15",0.517006802721088,1.68503150533029,"CW_rho","rho = 1"
"16",0.700680272108844,14.5092764506638,"CW_rho","rho = 1"
"17",0.816326530612245,4.59772989849447,"CW_rho","rho = 1"
"18",0.768707482993197,2.14914847409982,"CW_rho","rho = 1"
"19",0.775510204081633,7.55196241582257,"CW_rho","rho = 1"
"20",0.605442176870748,3.23858648416379,"CW_rho","rho = 1"
"21",0.63265306122449,5.9624742388556,"CW_rho","rho = 1"
"22",0.73469387755102,1.60949378991659,"CW_rho","rho = 1"
"23",0.653061224489796,3.91303652908639,"CW_rho","rho = 1"
"24",0.598639455782313,3.18582377572519,"CW_rho","rho = 1"
"25",0.578231292517007,5.44738645505343,"CW_rho","rho = 1"
"26",0.557823129251701,2.5936884858455,"CW_rho","rho = 1"
"27",0.707482993197279,2.90261171302106,"CW_rho","rho = 1"
"28",0.775510204081633,9.482147505978,"CW_rho","rho = 1"
"29",0.244897959183673,0.679085079132678,"CW_rho","rho = 1"
"30",0.598639455782313,2.60631949645199,"CW_rho","rho = 1"
"31",0.612244897959184,1.99173876685162,"CW_rho","rho = 1"
"32",0.727891156462585,2.55303333988409,"CW_rho","rho = 1"
"33",0.646258503401361,2.96397980526444,"CW_rho","rho = 1"
"34",0.680272108843537,4.57585576397616,"CW_rho","rho = 1"
"35",0.646258503401361,7.77487725364198,"CW_rho","rho = 1"
"36",0.482993197278912,1.52877758242416,"CW_rho","rho = 1"
"37",0.537414965986395,1.62476874325924,"CW_rho","rho = 1"
"38",0.639455782312925,3.54894620074804,"CW_rho","rho = 1"
"39",0.714285714285714,7.75013793353398,"CW_rho","rho = 1"
"40",0.802721088435374,12.2539672940598,"CW_rho","rho = 1"
"41",0.612244897959184,1.34875501943161,"CW_rho","rho = 1"
"42",0.537414965986395,0.940574893779618,"CW_rho","rho = 1"
"43",0.503401360544218,4.26684245272421,"CW_rho","rho = 1"
"44",0.591836734693878,1.63756213501717,"CW_rho","rho = 1"
"45",0.836734693877551,7.12194830596622,"CW_rho","rho = 1"
"46",0.557823129251701,2.4707960040608,"CW_rho","rho = 1"
"47",0.741496598639456,5.00853132979132,"CW_rho","rho = 1"
"48",0.761904761904762,4.40637208606012,"CW_rho","rho = 1"
"49",0.448979591836735,2.02282789103165,"CW_rho","rho = 1"
"50",0.619047619047619,2.14646905088556,"CW_rho","rho = 1"
"51",0.952380952380952,6.0768453338632,"CW_rho_with_CI","rho = 1"
"52",0.891156462585034,14.8400866889133,"CW_rho_with_CI","rho = 1"
"53",0.870748299319728,7.30373057527197,"CW_rho_with_CI","rho = 1"
"54",0.91156462585034,2.4978091162606,"CW_rho_with_CI","rho = 1"
"55",0.945578231292517,2.97976412773421,"CW_rho_with_CI","rho = 1"
"56",0.897959183673469,2.89578590369953,"CW_rho_with_CI","rho = 1"
"57",0.938775510204082,5.77615575571839,"CW_rho_with_CI","rho = 1"
"58",0.965986394557823,2.54852998734684,"CW_rho_with_CI","rho = 1"
"59",0.904761904761905,48.010136645213,"CW_rho_with_CI","rho = 1"
"60",0.952380952380952,22.8600968931541,"CW_rho_with_CI","rho = 1"
"61",0.884353741496599,3.86658202238842,"CW_rho_with_CI","rho = 1"
"62",0.959183673469388,15.4889124871668,"CW_rho_with_CI","rho = 1"
"63",0.965986394557823,2.92305739910698,"CW_rho_with_CI","rho = 1"
"64",0.931972789115646,3.63749233627838,"CW_rho_with_CI","rho = 1"
"65",0.904761904761905,3.02422457343707,"CW_rho_with_CI","rho = 1"
"66",0.952380952380952,18.9448632547619,"CW_rho_with_CI","rho = 1"
"67",0.918367346938776,4.92650968355735,"CW_rho_with_CI","rho = 1"
"68",0.952380952380952,2.97937049694703,"CW_rho_with_CI","rho = 1"
"69",0.965986394557823,9.95550561392953,"CW_rho_with_CI","rho = 1"
"70",0.91156462585034,5.19750088024192,"CW_rho_with_CI","rho = 1"
"71",0.870748299319728,9.03933359328557,"CW_rho_with_CI","rho = 1"
"72",0.986394557823129,3.34505150313883,"CW_rho_with_CI","rho = 1"
"73",0.850340136054422,4.65818742317351,"CW_rho_with_CI","rho = 1"
"74",0.91156462585034,4.96466120885889,"CW_rho_with_CI","rho = 1"
